Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,V,4039,57585.65578,80.78301996,1.3529117,0.030896893
NGC4593,M2,4039,57585.65769,241.28996,1.1791676,0.026634845
NGC4593,W1,4040,57585.72208,123.7673,1.3361075,0.028863974
NGC4593,U,4040,57585.7232,61.77329999,1.0908016,0.02481266
NGC4593,B,4040,57585.72397,61.76230001,1.1049006,0.02421967
NGC4593,HX,4040,57585.7245,767.2340736,0.489506,0.044194
NGC4593,SX,4040,57585.7245,767.2340736,0.538074,0.046267
NGC4593,W2,4040,57585.72582,247.77732,1.1696501,0.023105314
NGC4593,V,4040,57585.72768,61.72920001,1.3229462,0.03385435
NGC4593,M2,4040,57585.729,158.38862,1.07245145,0.030022355
NGC4593,W1,4041,57585.83588,90.76782,1.26704635,0.031993236
NGC4593,U,4041,57585.83673,44.78262001,1.0667231,0.028376308
NGC4593,B,4041,57585.83729,44.78262001,1.076244,0.02791183
NGC4593,HX,4041,57585.83757,554.1139584,0.396341,0.041078
NGC4593,SX,4041,57585.83757,554.1139584,0.563762,0.049035
NGC4593,W2,4041,57585.83867,181.76736,1.1968035,0.026621152
NGC4593,V,4041,57585.84003,44.77157998,1.34411635,0.039526208
NGC4593,M2,4041,57585.84103,120.09336,1.2011519,0.036195642
NGC4593,W1,4042,57585.90277,130.7732,1.22046335,0.02674374
NGC4593,U,4042,57585.90395,64.77425998,1.0580292,0.024129015
NGC4593,B,4042,57585.90476,64.78531998,1.1159605,0.024276197
NGC4593,HX,4042,57585.90562,792.3059712,0.404459,0.031978
NGC4593,SX,4042,57585.90562,792.3059712,0.525407,0.036511
NGC4593,W2,4042,57585.90671,261.7781,1.1289986,0.022151395
NGC4593,V,4042,57585.90865,64.77426004,1.3017981,0.032948192
NGC4593,M2,4042,57585.91013,180.15654,1.1643649,0.029799678
NGC4593,W1,4043,57585.97269,170.86682,1.2504353,0.024353547
NGC4593,U,4043,57585.97422,84.78798002,1.06718655,0.021783517
NGC4593,B,4043,57585.97526,84.76592004,1.14307715,0.021975603
NGC4593,HX,4043,57585.97587,890.091936,0.3804,0.028753
NGC4593,SX,4043,57585.97587,890.091936,0.40494,0.029701
NGC4593,W2,4043,57585.97779,341.7778,1.1878734,0.020700649
NGC4593,V,4043,57585.98032,84.77696002,1.2912094,0.029409926
NGC4593,M2,4043,57585.98143,99.17492002,1.20640065,0.039580952
NGC4593,W1,4044,57586.03566,159.7677,1.25131025,0.025094902
NGC4593,U,4044,57586.03712,79.76800001,1.04543915,0.022109778
NGC4593,B,4044,57586.03809,79.76802003,1.09743825,0.022025579
NGC4593,HX,4044,57586.03933,965.3159232,0.371177,0.035928
NGC4593,SX,4044,57586.03933,965.3159232,0.43589,0.039012
NGC4593,W2,4044,57586.04048,319.77812,1.131847,0.02055274
NGC4593,V,4044,57586.04284,79.77902001,1.3190171,0.030565576
NGC4593,M2,4044,57586.04462,219.37856,1.1788057,0.027636567
NGC4593,U,4045,57586.1039,84.76590002,1.0754619,0.022054192
NGC4593,B,4045,57586.10493,84.75488001,1.0507923,0.0208061
NGC4593,HX,4045,57586.10635,1025.490067,0.373019,0.037913
NGC4593,SX,4045,57586.10635,1025.490067,0.426908,0.040031
NGC4593,W2,4045,57586.10746,339.78084,1.1346011,0.020129733
NGC4593,V,4045,57586.10997,84.77697998,1.30576854,0.02965305
NGC4593,M2,4045,57586.11188,237.37328,1.15509925,0.026424585
NGC4593,W1,4046,57586.16905,169.76356,1.23588206,0.024295176
NGC4593,U,4046,57586.17057,84.77695996,1.04876875,0.021613999
NGC4593,B,4046,57586.1716,84.77696002,1.07171775,0.021082896
NGC4593,HX,4046,57586.17302,1025.48592,0.311079,0.025071
NGC4593,SX,4046,57586.17302,1025.48592,0.313789,0.025136
NGC4593,W2,4046,57586.17413,339.78086,1.1494741,0.020301757
NGC4593,V,4046,57586.17664,84.77695996,1.319236,0.02983557
NGC4593,M2,4046,57586.17855,236.72234,1.2060068,0.02718116
NGC4593,U,4047,57586.23654,84.78799999,1.0280284,0.021350703
NGC4593,B,4047,57586.23758,84.77696002,1.0741256,0.02122053
NGC4593,HX,4047,57586.23898,1025.487994,0.183637,0.020184
NGC4593,SX,4047,57586.23898,1025.487994,0.250749,0.023588
NGC4593,V,4047,57586.24261,84.78802001,1.2564248,0.028861353
NGC4593,W1,4048,57586.30157,149.7719,1.2249392,0.025405652
NGC4593,U,4048,57586.30293,74.7701,1.06111764,0.02294552
NGC4593,B,4048,57586.30385,74.7701,1.0835707,0.022499546
NGC4593,HX,4048,57586.30496,905.1379776,0.319023,0.035537
NGC4593,SX,4048,57586.30496,905.1379776,0.461846,0.042873
NGC4593,W2,4048,57586.30608,299.77548,1.1426944,0.021187535
NGC4593,V,4048,57586.3083,74.78114003,1.2835833,0.030797102
NGC4593,M2,4048,57586.30998,205.8743,1.2187087,0.028954307
NGC4593,U,4049,57586.36958,74.7701,1.0140472,0.022159954
NGC4593,B,4049,57586.3705,74.7701,1.0725057,0.022284907
NGC4593,HX,4049,57586.37163,907.6420224,0.325465,0.02661
NGC4593,SX,4049,57586.37163,907.6420224,0.386944,0.029049
NGC4593,V,4049,57586.37497,74.78113997,1.2577031,0.03036426
NGC4593,W1,4050,57586.4342,149.7388,1.2073732,0.02514689
NGC4593,U,4050,57586.43555,74.7701,1.0541722,0.022790414
NGC4593,B,4050,57586.43648,74.77011997,1.0966194,0.02263471
NGC4593,HX,4050,57586.43759,905.1360768,0.529108,0.0478
NGC4593,SX,4050,57586.43759,905.1360768,0.727994,0.056279
NGC4593,W2,4050,57586.43871,299.77546,1.14451964,0.021220068
NGC4593,V,4050,57586.44093,74.75906003,1.2718725,0.030612975
NGC4593,M2,4050,57586.44261,206.90034,1.10289644,0.027210518
NGC4593,HX,4051,57586.50406,940.2379776,0.592463,0.044737
NGC4593,SX,4051,57586.50406,940.2379776,0.805395,0.052071
NGC4593,U,4052,57586.56896,72.78417999,1.0387624,0.022725807
NGC4593,B,4052,57586.56985,72.77312005,1.1001076,0.022926257
NGC4593,HX,4052,57586.57099,897.61392,0.570042,0.054034
NGC4593,SX,4052,57586.57099,897.61392,0.688821,0.059503
NGC4593,V,4052,57586.57421,72.77311999,1.3227959,0.031733473
NGC4593,U,4053,57586.64818,80.77201998,1.0817187,0.02229901
NGC4593,B,4053,57586.64917,80.77202004,1.1524699,0.022471583
NGC4593,HX,4053,57586.65027,992.8899648,0.548754,0.042525
NGC4593,SX,4053,57586.65027,992.8899648,0.687312,0.047734
NGC4593,W2,4053,57586.65158,324.77604,1.23210005,0.021592649
NGC4593,V,4053,57586.65398,80.77200001,1.3269717,0.030495473
NGC4593,W1,4054,57586.71886,113.76042,1.2691137,0.028954413
NGC4593,U,4054,57586.7199,56.77542001,1.06865505,0.025313132
